quarter_end,year,quarter,offence,open_1yr_plus,share_of_quarter
2018-06-30,2018,Q2,Miscellaneous crimes against society,547.0,0.16595873786407767
2018-06-30,2018,Q2,Drug offences,422.0,0.12803398058252427
2018-06-30,2018,Q2,Fraud offences,336.0,0.10194174757281553
2018-06-30,2018,Q2,Not known,279.0,0.08464805825242719
2018-06-30,2018,Q2,Theft offences,236.0,0.07160194174757281
2018-06-30,2018,Q2,Possession of weapons,108.0,0.032766990291262135
2018-06-30,2018,Q2,Robbery,69.0,0.020934466019417477
2018-06-30,2018,Q2,Public order offences,65.0,0.01972087378640777
2018-06-30,2018,Q2,Summary non-motoring,61.0,0.018507281553398057
2018-06-30,2018,Q2,Criminal damage and arson,43.0,0.013046116504854368
2018-06-30,2018,Q2,Summary motoring,23.0,0.006978155339805826
2018-09-30,2018,Q3,Miscellaneous crimes against society,553.0,0.17919637070641609
2018-09-30,2018,Q3,Violence against the person,500.0,0.16202203499675957
2018-09-30,2018,Q3,Sexual offences,498.0,0.16137394685677253
2018-09-30,2018,Q3,Drug offences,407.0,0.13188593648736227
2018-09-30,2018,Q3,Fraud offences,291.0,0.09429682436811407
2018-09-30,2018,Q3,Not known,274.0,0.08878807517822424
2018-09-30,2018,Q3,Theft offences,207.0,0.06707712248865846
2018-09-30,2018,Q3,Possession of weapons,92.0,0.029812054439403757
2018-09-30,2018,Q3,Robbery,70.0,0.02268308489954634
2018-09-30,2018,Q3,Public order offences,68.0,0.0220349967595593
2018-09-30,2018,Q3,Summary non-motoring,62.0,0.020090732339598186
2018-09-30,2018,Q3,Criminal damage and arson,40.0,0.012961762799740765
2018-09-30,2018,Q3,Summary motoring,24.0,0.007777057679844459
2018-12-31,2018,Q4,Miscellaneous crimes against society,494.0,0.1915471112834432
2018-12-31,2018,Q4,Violence against the person,433.0,0.16789453276463745
2018-12-31,2018,Q4,Sexual offences,371.0,0.14385420705699883
2018-12-31,2018,Q4,Drug offences,279.0,0.10818146568437378
2018-12-31,2018,Q4,Not known,271.0,0.10507948817371074
2018-12-31,2018,Q4,Fraud offences,258.0,0.10003877471888328
2018-12-31,2018,Q4,Theft offences,160.0,0.062039550213260956
2018-12-31,2018,Q4,Possession of weapons,80.0,0.031019775106630478
