quarter_end,year,quarter,age_band,age_order,count
2018-09-30,2018,Q3,6 months to under 1 year,7.0,5401.0
2018-09-30,2018,Q3,1 to 2 years,8.0,2280.0
2018-09-30,2018,Q3,2 years or more,9.0,806.0
2018-12-31,2018,Q4,Under 4 weeks,1.0,6273.0
2018-12-31,2018,Q4,4 to 8 weeks,2.0,5378.0
2018-12-31,2018,Q4,8 to 12 weeks,3.0,3896.0
2018-12-31,2018,Q4,12 to 16 weeks,4.0,3060.0
2018-12-31,2018,Q4,16 to 20 weeks,5.0,2596.0
2018-12-31,2018,Q4,20 to 26 weeks,6.0,3254.0
2018-12-31,2018,Q4,6 months to under 1 year,7.0,5016.0
2018-12-31,2018,Q4,1 to 2 years,8.0,1814.0
2018-12-31,2018,Q4,2 years or more,9.0,765.0
2019-03-31,2019,Q1,Under 4 weeks,1.0,7609.0
2019-03-31,2019,Q1,4 to 8 weeks,2.0,5211.0
2019-03-31,2019,Q1,8 to 12 weeks,3.0,3890.0
2019-03-31,2019,Q1,12 to 16 weeks,4.0,2635.0
2019-03-31,2019,Q1,16 to 20 weeks,5.0,2665.0
2019-03-31,2019,Q1,20 to 26 weeks,6.0,2905.0
2019-03-31,2019,Q1,6 months to under 1 year,7.0,4836.0
2019-03-31,2019,Q1,1 to 2 years,8.0,1688.0
2019-03-31,2019,Q1,2 years or more,9.0,710.0
2019-06-30,2019,Q2,Under 4 weeks,1.0,7569.0
2019-06-30,2019,Q2,4 to 8 weeks,2.0,4976.0
2019-06-30,2019,Q2,8 to 12 weeks,3.0,4089.0
2019-06-30,2019,Q2,12 to 16 weeks,4.0,3526.0
2019-06-30,2019,Q2,16 to 20 weeks,5.0,2923.0
2019-06-30,2019,Q2,20 to 26 weeks,6.0,3055.0
2019-06-30,2019,Q2,6 months to under 1 year,7.0,4838.0
2019-06-30,2019,Q2,1 to 2 years,8.0,1574.0
2019-06-30,2019,Q2,2 years or more,9.0,670.0
2019-09-30,2019,Q3,Under 4 weeks,1.0,7374.0
2019-09-30,2019,Q3,4 to 8 weeks,2.0,5064.0
2019-09-30,2019,Q3,8 to 12 weeks,3.0,4251.0
2019-09-30,2019,Q3,12 to 16 weeks,4.0,3563.0
2019-09-30,2019,Q3,16 to 20 weeks,5.0,2776.0
2019-09-30,2019,Q3,20 to 26 weeks,6.0,3429.0
2019-09-30,2019,Q3,6 months to under 1 year,7.0,5527.0
2019-09-30,2019,Q3,1 to 2 years,8.0,1657.0
2019-09-30,2019,Q3,2 years or more,9.0,635.0
2019-12-31,2019,Q4,Under 4 weeks,1.0,6565.0
2019-12-31,2019,Q4,4 to 8 weeks,2.0,6207.0
2019-12-31,2019,Q4,8 to 12 weeks,3.0,4680.0
2019-12-31,2019,Q4,12 to 16 weeks,4.0,3520.0
2019-12-31,2019,Q4,16 to 20 weeks,5.0,2956.0
2019-12-31,2019,Q4,20 to 26 weeks,6.0,3818.0
2019-12-31,2019,Q4,6 months to under 1 year,7.0,6635.0
2019-12-31,2019,Q4,1 to 2 years,8.0,1759.0
2019-12-31,2019,Q4,2 years or more,9.0,634.0
2020-03-31,2020,Q1,Under 4 weeks,1.0,6387.0
2020-03-31,2020,Q1,4 to 8 weeks,2.0,6516.0
2020-03-31,2020,Q1,8 to 12 weeks,3.0,4849.0
2020-03-31,2020,Q1,12 to 16 weeks,4.0,3075.0
2020-03-31,2020,Q1,16 to 20 weeks,5.0,3465.0
2020-03-31,2020,Q1,20 to 26 weeks,6.0,4260.0
2020-03-31,2020,Q1,6 months to under 1 year,7.0,7860.0
2020-03-31,2020,Q1,1 to 2 years,8.0,2369.0
2020-03-31,2020,Q1,2 years or more,9.0,659.0
2020-06-30,2020,Q2,Under 4 weeks,1.0,5743.0
2020-06-30,2020,Q2,4 to 8 weeks,2.0,3326.0
2020-06-30,2020,Q2,8 to 12 weeks,3.0,2098.0
2020-06-30,2020,Q2,12 to 16 weeks,4.0,3234.0
2020-06-30,2020,Q2,16 to 20 weeks,5.0,4690.0
2020-06-30,2020,Q2,20 to 26 weeks,6.0,5297.0
2020-06-30,2020,Q2,6 months to under 1 year,7.0,12361.0
2020-06-30,2020,Q2,1 to 2 years,8.0,4099.0
2020-06-30,2020,Q2,2 years or more,9.0,759.0
2020-09-30,2020,Q3,Under 4 weeks,1.0,8828.0
2020-09-30,2020,Q3,4 to 8 weeks,2.0,6678.0
2020-09-30,2020,Q3,8 to 12 weeks,3.0,5357.0
2020-09-30,2020,Q3,12 to 16 weeks,4.0,3688.0
2020-09-30,2020,Q3,16 to 20 weeks,5.0,2284.0
2020-09-30,2020,Q3,20 to 26 weeks,6.0,1910.0
2020-09-30,2020,Q3,6 months to under 1 year,7.0,13521.0
2020-09-30,2020,Q3,1 to 2 years,8.0,6410.0
2020-09-30,2020,Q3,2 years or more,9.0,893.0
2020-12-31,2020,Q4,Under 4 weeks,1.0,6985.0
2020-12-31,2020,Q4,4 to 8 weeks,2.0,7213.0
2020-12-31,2020,Q4,8 to 12 weeks,3.0,6067.0
2020-12-31,2020,Q4,12 to 16 weeks,4.0,5179.0
2020-12-31,2020,Q4,16 to 20 weeks,5.0,4300.0
2020-12-31,2020,Q4,20 to 26 weeks,6.0,5240.0
2020-12-31,2020,Q4,6 months to under 1 year,7.0,9817.0
2020-12-31,2020,Q4,1 to 2 years,8.0,9168.0
2020-12-31,2020,Q4,2 years or more,9.0,1137.0
2021-03-31,2021,Q1,Under 4 weeks,1.0,7733.0
2021-03-31,2021,Q1,4 to 8 weeks,2.0,6578.0
2021-03-31,2021,Q1,8 to 12 weeks,3.0,5358.0
2021-03-31,2021,Q1,12 to 16 weeks,4.0,3766.0
2021-03-31,2021,Q1,16 to 20 weeks,5.0,4342.0
2021-03-31,2021,Q1,20 to 26 weeks,6.0,5831.0
2021-03-31,2021,Q1,6 months to under 1 year,7.0,12034.0
2021-03-31,2021,Q1,1 to 2 years,8.0,10558.0
2021-03-31,2021,Q1,2 years or more,9.0,1593.0
2021-06-30,2021,Q2,Under 4 weeks,1.0,7595.0
2021-06-30,2021,Q2,4 to 8 weeks,2.0,6010.0
2021-06-30,2021,Q2,8 to 12 weeks,3.0,5024.0
2021-06-30,2021,Q2,12 to 16 weeks,4.0,4064.0
2021-06-30,2021,Q2,16 to 20 weeks,5.0,4108.0
2021-06-30,2021,Q2,20 to 26 weeks,6.0,5105.0
2021-06-30,2021,Q2,6 months to under 1 year,7.0,15406.0
2021-06-30,2021,Q2,1 to 2 years,8.0,9122.0
2021-06-30,2021,Q2,2 years or more,9.0,2123.0
2021-09-30,2021,Q3,Under 4 weeks,1.0,6586.0
2021-09-30,2021,Q3,4 to 8 weeks,2.0,5230.0
2021-09-30,2021,Q3,8 to 12 weeks,3.0,4588.0
2021-09-30,2021,Q3,12 to 16 weeks,4.0,4243.0
2021-09-30,2021,Q3,16 to 20 weeks,5.0,3839.0
2021-09-30,2021,Q3,20 to 26 weeks,6.0,4707.0
2021-09-30,2021,Q3,6 months to under 1 year,7.0,15244.0
2021-09-30,2021,Q3,1 to 2 years,8.0,10185.0
2021-09-30,2021,Q3,2 years or more,9.0,2872.0
2021-12-31,2021,Q4,Under 4 weeks,1.0,5584.0
2021-12-31,2021,Q4,4 to 8 weeks,2.0,5773.0
2021-12-31,2021,Q4,8 to 12 weeks,3.0,4533.0
2021-12-31,2021,Q4,12 to 16 weeks,4.0,3707.0
2021-12-31,2021,Q4,16 to 20 weeks,5.0,3196.0
2021-12-31,2021,Q4,20 to 26 weeks,6.0,4400.0
2021-12-31,2021,Q4,6 months to under 1 year,7.0,14545.0
2021-12-31,2021,Q4,1 to 2 years,8.0,10871.0
2021-12-31,2021,Q4,2 years or more,9.0,3609.0
2022-03-31,2022,Q1,Under 4 weeks,1.0,7478.0
2022-03-31,2022,Q1,4 to 8 weeks,2.0,5790.0
2022-03-31,2022,Q1,8 to 12 weeks,3.0,4401.0
2022-03-31,2022,Q1,12 to 16 weeks,4.0,3029.0
2022-03-31,2022,Q1,16 to 20 weeks,5.0,3338.0
2022-03-31,2022,Q1,20 to 26 weeks,6.0,4098.0
2022-03-31,2022,Q1,6 months to under 1 year,7.0,12054.0
2022-03-31,2022,Q1,1 to 2 years,8.0,11363.0
